Subject_all,MeanMVC_all,StrideTime_all,WalkingAmp_all,NumberofBursts_all
1,0.000304367739011502,1.10851454734802,2.33160607166512e-05,4
1,0.000304367739011502,1.11990928649902,3.40545743615721e-05,3
1,0.000304367739011502,1.07750797271729,3.28362118775529e-05,2
1,0.000304367739011502,1.05524921417236,2.32876454102451e-05,4
1,0.000304367739011502,1.08089971542358,2.80683446991084e-05,3
1,0.000304367739011502,1.08611822128296,2.76657500492104e-05,5
1,0.000304367739011502,1.12516975402832,3.62639775728878e-05,2
1,0.000304367739011502,1.06301283836365,2.93048971726804e-05,1
1,0.000304367739011502,1.02430486679077,2.80091322081411e-05,3
1,0.000304367739011502,1.12980175018311,3.24325577901717e-05,3
1,0.000304367739011502,1.08074331283569,3.86396418569014e-05,2
1,0.000304367739011502,1.03850030899048,3.02562217137685e-05,4
1,0.000304367739011502,1.108806848526,2.87117692273524e-05,1
1,0.000304367739011502,1.03551340103149,3.09683192938394e-05,2
1,0.000304367739011502,1.09779334068298,3.7394223945624e-05,2
1,0.000304367739011502,1.04848051071167,3.14426561786391e-05,1
1,0.000304367739011502,1.0522882938385,4.00549916994868e-05,3
1,0.000304367739011502,1.10403513908386,3.5477569191346e-05,3
1,0.000304367739011502,1.09451794624329,3.67339187337972e-05,2
1,0.000304367739011502,1.13673877716064,2.77450047693784e-05,4
1,0.000304367739011502,1.00250053405762,4.10672379769211e-05,3
1,0.000304367739011502,1.16393160820007,3.23374573388948e-05,4
1,0.000304367739011502,1.06271576881409,3.24528708818463e-05,4
1,0.000304367739011502,1.01931166648865,4.32934647989317e-05,3
1,0.000304367739011502,1.03314065933228,2.78552422731159e-05,3
1,0.000304367739011502,1.07068347930908,3.22856701927744e-05,5
1,0.000304367739011502,1.06009292602539,4.12309154612142e-05,2
1,0.000304367739011502,1.08897495269775,3.75064549220123e-05,2
1,0.000304367739011502,1.0850784778595,3.18842234211959e-05,3
1,0.000304367739011502,1.09224128723145,3.82105085364561e-05,4
1,0.000304367739011502,1.082279920578,3.65771407683733e-05,3
1,0.000304367739011502,1.08318877220154,3.40009488838426e-05,5
1,0.000304367739011502,1.11105585098267,3.87745646650278e-05,3
1,0.000304367739011502,1.0551221370697,2.86387001708463e-05,1
1,0.000304367739011502,1.10071969032288,4.03809224054655e-05,4
1,0.000304367739011502,1.08477234840393,3.07798133033685e-05,3
1,0.000304367739011502,1.0836501121521,3.24476138310088e-05,5
1,0.000304367739011502,1.08012938499451,3.2788483668524e-05,4
1,0.000304367739011502,1.08199000358582,3.98988302510112e-05,3
1,0.000304367739011502,1.0727264881134,3.50998262493846e-05,3
1,0.000304367739011502,1.11941170692444,4.63260225475198e-05,4
1,0.000304367739011502,1.16069746017456,4.06420901959274e-05,3
2,0.000131921826431819,1.10935878753662,2.53003990468332e-05,3
2,0.000131921826431819,1.09233832359314,2.3835138569355e-05,4
2,0.000131921826431819,1.10891723632813,2.36405760991061e-05,3
2,0.000131921826431819,1.09748029708862,2.23186160311625e-05,4
2,0.000131921826431819,1.07544612884521,2.43281902567126e-05,3
