Subject_all,MeanMVC_all,StrideTime_all,WalkingAmp_all,NumberofBursts_all
1,0.00030466796262517,1.10850381851196,2.35033520160024e-05,4
1,0.00030466796262517,1.11990594863892,3.47286456576646e-05,4
1,0.00030466796262517,1.07750415802002,3.27709841669661e-05,2
1,0.00030466796262517,1.05528545379639,2.31507285211084e-05,5
1,0.00030466796262517,1.08087730407715,2.78459524791135e-05,3
1,0.00030466796262517,1.08609056472778,2.77734688764761e-05,5
1,0.00030466796262517,1.12517261505127,3.62659052913656e-05,2
1,0.00030466796262517,1.06299781799316,2.94062243890804e-05,1
1,0.00030466796262517,1.02433705329895,2.81769922895151e-05,3
1,0.00030466796262517,1.12978053092957,3.37571540711568e-05,4
1,0.00030466796262517,1.0807626247406,3.79488766156068e-05,2
1,0.00030466796262517,1.03850722312927,3.02318973828885e-05,4
1,0.00030466796262517,1.10884976387024,2.90686588147258e-05,1
1,0.00030466796262517,1.03546547889709,3.08955983715524e-05,2
1,0.00030466796262517,1.0977954864502,3.75466100746318e-05,2
1,0.00030466796262517,1.04862189292908,3.21645316167153e-05,4
1,0.00030466796262517,1.05213975906372,3.93520026043878e-05,3
1,0.00030466796262517,1.10404181480408,3.53024295276296e-05,2
1,0.00030466796262517,1.09452795982361,3.70002929887286e-05,2
1,0.00030466796262517,1.13674068450928,2.79651119646169e-05,5
1,0.00030466796262517,1.0024778842926,4.2959416201421e-05,5
1,0.00030466796262517,1.16395807266235,3.22386083734339e-05,4
1,0.00030466796262517,1.06270265579224,3.16978453688118e-05,2
1,0.00030466796262517,1.01932382583618,4.36596370080792e-05,3
1,0.00030466796262517,1.0331072807312,2.75147760350347e-05,4
1,0.00030466796262517,1.07071757316589,3.29914061673095e-05,5
1,0.00030466796262517,1.06006956100464,4.09076571524737e-05,2
1,0.00030466796262517,1.08898329734802,3.72772005694199e-05,3
1,0.00030466796262517,1.08509159088135,3.21971536986339e-05,3
1,0.00030466796262517,1.09225630760193,3.73999463165762e-05,4
1,0.00030466796262517,1.08229422569275,3.71652534000799e-05,3
1,0.00030466796262517,1.08313465118408,3.42324993225515e-05,4
1,0.00030466796262517,1.11109328269958,3.81549125552978e-05,3
1,0.00030466796262517,1.05514335632324,2.87671509258692e-05,2
1,0.00030466796262517,1.10068011283875,4.07759656167114e-05,4
1,0.00030466796262517,1.08477020263672,3.05013964077841e-05,5
1,0.00030466796262517,1.08362197875977,3.30924394334195e-05,5
1,0.00030466796262517,1.08013272285461,3.27769132477454e-05,6
1,0.00030466796262517,1.08201336860657,3.97454192180655e-05,3
1,0.00030466796262517,1.07272934913635,3.51560786196052e-05,4
1,0.00030466796262517,1.11939668655396,4.61592486858884e-05,4
1,0.00030466796262517,1.16067218780518,4.02938265601324e-05,3
2,0.000131587459278814,1.10935163497925,2.54840677365344e-05,3
2,0.000131587459278814,1.09233689308167,2.41338884383558e-05,5
2,0.000131587459278814,1.10891032218933,2.35768501976237e-05,3
2,0.000131587459278814,1.09747910499573,2.24161132673614e-05,3
2,0.000131587459278814,1.07544612884521,2.4116343640056e-05,5
2,0.000131587459278814,1.08900046348572,2.13865377222534e-05,4
2,0.000131587459278814,1.09333181381226,2.71170783821792e-05,3
2,0.000131587459278814,1.08872413635254,2.33142502244752e-05,3
2,0.000131587459278814,1.09876370429993,2.66317722207544e-05,2
2,0.000131587459278814,1.08479905128479,2.66599274250253e-05,3
2,0.000131587459278814,1.09761595726013,2.3422535538592e-05,1
2,0.000131587459278814,1.08056378364563,2.63844014866766e-05,4
2,0.000131587459278814,1.08585119247437,2.45007387368731e-05,5
2,0.000131587459278814,1.08873748779297,3.01894719479513e-05,4
2,0.000131587459278814,1.10151529312134,3.66597836349572e-05,4
2,0.000131587459278814,1.11390447616577,2.56064440157669e-05,4
2,0.000131587459278814,1.14160108566284,2.00239958566016e-05,3
2,0.000131587459278814,1.10014986991882,2.36855975735057e-05,4
2,0.000131587459278814,1.087153673172,2.43716344302559e-05,5
2,0.000131587459278814,1.09471797943115,2.76504483508514e-05,1
2,0.000131587459278814,1.08034300804138,2.9049132712049e-05,2
2,0.000131587459278814,1.09624838829041,2.83368442341136e-05,3
2,0.000131587459278814,1.12563037872314,3.97355452435599e-05,3
2,0.000131587459278814,1.09909772872925,2.98149269267225e-05,3
2,0.000131587459278814,1.20917296409607,2.46069264289963e-05,3
2,0.000131587459278814,1.16169929504395,2.80061441749473e-05,2
2,0.000131587459278814,1.14799952507019,2.84979375662174e-05,6
2,0.000131587459278814,1.13672709465027,2.70569213247438e-05,5
2,0.000131587459278814,1.14470601081848,2.57407507529249e-05,2
2,0.000131587459278814,1.134516954422,3.69613797684402e-05,3
2,0.000131587459278814,1.13909792900085,2.57372213752719e-05,3
2,0.000131587459278814,1.13946938514709,2.14759662230277e-05,2
2,0.000131587459278814,1.09913372993469,2.76842211333011e-05,4
